descriptor name p m,+,- r,+,- d,+,- ins ttv
"Kepler-68 b"        5.398750        5.970000        1.700000        1.700000        2.330000        0.020000        0.020000        0.471962        0.134943        0.134943      407.178478   0.0 
"Kepler-305 c"        8.291000        6.000000        2.400000        2.200000        3.300000        0.820000        0.330000        0.166959        0.083479        0.138701       70.824584   1.0 
"Kepler-92 c"       26.723000        6.100000        1.800000        1.800000        2.600000        0.080000        0.080000        0.347064        0.107306        0.107306       89.452006   0.0 
"Kepler-99 b"        4.603580        6.150000        1.300000        1.300000        1.480000        0.080000        0.080000        1.897099        0.505423        0.505423       99.817309   0.0 
"Kepler-79 c"       27.402901        5.900000        1.900000        2.300000        3.720000        0.080000        0.080000        0.114610        0.037642        0.045286       62.753031   1.0 
"Kepler-79 d"       52.090199        6.000000        2.100000        1.600000        7.160000        0.130000        0.160000        0.016346        0.005825        0.004449       26.649480   1.0 
"Kepler-406 b"        2.426290        6.350000        1.400000        1.400000        1.430000        0.030000        0.030000        2.171529        0.497887        0.497887      740.174429   0.0 
"Kepler-454 b"       10.573753        6.840000        1.400000        1.400000        2.370000        0.130000        0.130000        0.513820        0.134942        0.134942      119.777564   0.0 
"Kepler-11 e"       31.999599        8.000000        1.500000        2.100000        4.190000        0.070000        0.090000        0.108755        0.021562        0.029064       27.400502   1.0 
"GJ 3634 b"        2.645610        8.400000        4.000000        1.500000       -0.000100        0.000100        0.000100 -8400000778240.000000 -25515488444416.000000 -25244607709184.000000        0.000000   0.0 
"KOI-142 b"       10.954160        8.700000        2.500000        2.500000        3.780000        0.390000        0.360000        0.161081        0.065274        0.068032       68.698416   1.0 
"Kepler-102 e"       16.145700        8.930000        2.000000        2.000000        2.220000        0.070000        0.070000        0.816192        0.198434        0.198434       22.175205   0.0 
"Kepler-20 d"       77.611298       10.070000        3.970000        3.700000        2.744000        0.073000        0.055000        0.487391        0.194371        0.183257        6.156942   0.0 
"Kepler-106 c"       13.570800       10.440000        3.200000        3.200000        2.500000        0.320000        0.320000        0.668160        0.328288        0.328288       92.241092   0.0 
"Kepler-305 b"        5.487000       10.500000        2.600000        2.000000        3.600000        0.900000        0.360000        0.225051        0.087543        0.174147      122.804232   1.0 
"K2-95 b"       10.133890       10.990000        2.730000        2.730000        3.470000        0.780000        0.530000        0.263032        0.137097        0.189028        4.905718   0.0 
"Kepler-113 b"        4.754000       11.700000        4.200000        4.200000        1.820000        0.050000        0.050000        1.940759        0.714809        0.714809       84.304964   0.0 
"K2-38 b"        4.015930       12.000000        2.900000        2.900000        1.550000        0.160000        0.160000        3.222450        1.265824        1.265824      466.588144   0.0 
"Kepler-95 b"       11.523100       13.000000        2.900000        2.900000        3.420000        0.090000        0.090000        0.324986        0.076903        0.076903      179.442509   0.0 
"Kepler-350 d"       26.136000       14.900000        5.300000        4.700000        2.800000        1.280000        0.540000        0.678754        0.460989        0.955167      103.602736   1.0 
"HD 77338 b"        5.736100       15.900000        4.700000        5.300000       -0.000100        0.000100        0.000100 -15900001435648.000000 -47930996162560.000000 -47993545818112.000000      154.307012   0.0 
"Kepler-276 d"       48.647999       16.299999        5.000000        4.300000        2.800000        1.230000        0.270000        0.742529        0.313081        0.997960       18.971728   1.0 
"Kepler-131 b"       16.091999       16.129999        3.500000        3.500000        2.410000        0.200000        0.200000        1.152347        0.380564        0.380564       63.103047   0.0 
"BD+20 594 b"       41.685501       16.299999        6.000000        6.100000        2.230000        0.140000        0.110000        1.469850        0.583134        0.615800       15.933249   0.0 
"Kepler-276 c"       31.884001       16.600000        4.400000        3.600000        2.900000        1.270000        0.280000        0.680635        0.267236        0.906314       33.324460   1.0 
"Kepler-25 c"       12.720400       24.600000        5.700000        5.700000        5.200000        0.090000        0.090000        0.174955        0.041544        0.041544      186.458042   1.0 
"CoRoT-24 c"       11.759000       28.000000       11.000000       11.000000        5.000000        0.500000        0.500000        0.224000        0.110724        0.110724       41.453738   0.0 
"Kepler-117 b"       18.795923       29.875000       10.488000       10.488000        8.059000        0.269000        0.269000        0.057077        0.020837        0.020837      160.330386   0.0 
"Kepler-414 c"        7.171000       29.900000       12.400000       10.500000        3.010000        0.540000        0.250000        1.096407        0.530455        0.704595        0.000000   1.0 
"EPIC 211391664 b"       10.136750       32.200001        8.100000        8.100000        4.300000        0.300000        0.200000        0.404996        0.116501        0.132531      245.901680   0.0 
"Kepler-145 b"       22.951000       37.099998       11.600000       11.600000        2.650000        0.080000        0.080000        1.993592        0.648956        0.648956      134.438130   1.0 
"Kepler-328 c"       71.311996       39.400002       13.600000       12.600000        5.400000        2.240000        0.540000        0.250216        0.114430        0.321497        9.926340   1.0 
"Kepler-282 e"       44.347000       56.200001       16.200001       16.700001        3.100000        1.260000        0.250000        1.886476        0.709938        2.367604       12.157886   1.0 
"Kepler-92 b"       13.749000       64.300003       13.900000       13.900000        3.510000        0.100000        0.100000        1.486927        0.345647        0.345647      216.974598   0.0 
"Kepler-277 c"       33.006001       64.199997       18.100000       15.700000        3.360000        0.830000        0.720000        1.692455        1.188039        1.320756       73.294492   1.0 
"Kepler-413 b"       66.262001       67.000000       22.000000       21.000000        4.347000        0.099000        0.099000        0.815654        0.273563        0.261656        2.962689   0.0 
"Kepler-145 c"       42.882000       79.400002       16.400000       16.400000        4.320000        0.120000        0.120000        0.984848        0.219351        0.219351       58.419510   1.0 
"Kepler-425 b"        3.797018       79.449997       25.430000       25.430000       10.962000        0.247000        0.247000        0.060315        0.019731        0.019731      219.472945   0.0 
"Kepler-427 b"       10.290994       92.169998       28.600000       28.600000       13.790000        2.350000        2.350000        0.035148        0.021020        0.021020      221.950694   0.0 
"HATS-6 b"        3.325273      101.387772       22.248100       22.248100       11.187000        0.213000        0.213000        0.072418        0.016421        0.016421       42.930866   0.0 
"Kepler-426 b"        3.217519      108.059998       25.430000       25.430000       12.220000        0.340000        0.340000        0.059218        0.014786        0.014786      477.847567   0.0 
"Kepler-422 b"        7.891448      136.660004       41.320000       41.320000       12.890000        1.230000        1.230000        0.063809        0.026569        0.026569      265.857720   0.0 
"HATS-27 b"        4.637038      168.449905       41.317902       41.317902       16.813999        2.242000        1.233000        0.035437        0.011676        0.016628     1248.120918   0.0 
"Kepler-8 b"        3.522499      187.519699       41.317902       38.139599       15.872000        0.594000        0.695000        0.046898        0.012030        0.010895     1274.247727   0.0 
"OGLE-TR-10 b"        3.101278      197.046005       44.493999       44.493999       14.011000        1.569000        1.345000        0.071641        0.026217        0.028999      814.922197   0.0 
"Kepler-91 b"        6.246580      257.442291       57.209400       54.031101       15.323000        0.773000        0.673000        0.071556        0.018487        0.018515     2895.277399   0.0 
"Lupus-TR-3 b"        3.914050      257.431000       57.207001       57.207001        9.976000        0.785000        0.785000        0.259293        0.084065        0.084065      175.250975   0.0 
"CoRoT-29 b"        2.850570      270.155487       63.566002       63.566002       10.088000        1.793000        1.793000        0.263147        0.153366        0.153366      367.005066   0.0 
"KELT-15 b"        3.329441      289.225311       66.744301       69.922600       16.174999        1.233000        0.639000        0.068344        0.017730        0.022744     1201.105783   0.0 
"Kepler-539 b"      125.632431      308.295105       92.170700       92.170700        8.373000        0.191000        0.191000        0.525198        0.161079        0.161079        3.734319   0.0 
"KELT-17 b"        3.080172      416.357300       88.992401       92.170700       17.094000        0.729000        0.673000        0.083356        0.020356        0.021313     3161.285490   0.0 
"Kepler-447 b"        7.794302      435.410004      152.550003      146.199997       18.490000        6.610000        6.280000        0.068879        0.074216        0.077407      152.258455   0.0 
"Kepler-420 b"       86.647659      460.829987      111.239998      111.239998       10.540000        1.350000        1.350000        0.393567        0.178594        0.178594        7.297062   0.0 
"POTS-1 b"        3.160630      734.159973      244.720001      244.720001       10.548000        0.404000        0.527000        0.625576        0.228637        0.220567       84.447071   0.0 
"OGLE2-TR-L9 b"        2.485533     1430.175049      476.725006      476.725006       18.046000        0.448000        0.448000        0.243358        0.083120        0.083120     2848.480546   0.0 
